ID,min_distances,ref_min_distances,stenosis_min_squared_fd,stenosis_min_squared_sd,stenosis_ratio_min,stenosis_ratio_min_squared,stenosis_ratio_min_squared_fd,stenosis_ratio_min_squared_sd,avg_radius,ref_avg_radius,stenosis_ratio_avg
21.0,3.383079218700029,2.963529271886448,-0.07910875353233249,-0.07910875353233249,0.0,0.0,0.0,0.0,3.8846265516703222,3.4785117077250645,0.0
21.5,3.2832719960429695,2.9702203149291524,-0.1058181647072296,-0.1058181647072296,0.0,0.0,0.0,0.0,3.802795898131393,3.489156520979141,0.0
22.0,3.17144288928557,2.9589343800518133,0.003960398425714162,0.003960398425714162,0.0,0.0,0.0,0.0,3.64326581360104,3.491129716631641,0.0
22.5,3.291192792894398,2.9773825450655815,0.09052808928705103,0.09052808928705103,0.0,0.0,0.0,0.0,3.6502521411899753,3.503117488266051,0.0
23.0,3.352499067859672,3.0025376335158747,-0.10401036251980322,-0.10401036251980322,0.0,0.0,0.0,0.0,3.83997516584154,3.5213262840162676,0.0
23.5,3.0831720678547914,3.0187982643684195,-0.12924234260847256,-0.12924234260847256,0.0,0.0,0.0,0.0,3.4430820412931986,3.5257717530465236,0.02345293953923
24.0,3.094014382642727,3.018433169566574,0.016828625269573738,0.016828625269573738,0.0,0.0,0.0,0.00016684752885996222,3.539506759341944,3.530032367951087,0.0
24.5,3.116829318393939,2.9986828442522957,-0.08786789022636943,-0.08786789022636943,0.0,0.0,0.00033369505771992444,0.0005299074545814691,3.6033261144663653,3.5282158023658354,0.0
25.0,2.918278602189988,2.995668383776602,-0.12377184650803752,-0.12377184650803752,0.025833894701338567,0.0006673901154398489,0.0010598149091629381,0.0005315943575208565,3.5205138862392995,3.5266279073646247,0.0017336734370408946
25.5,2.869285625377864,3.007761262460804,-0.04947400394108681,-0.04947400394108681,0.04603943764128615,0.0021196298183258763,0.0013968837727616375,-0.0010598149091629381,3.418729048432046,3.5341476541996624,0.032658116485445476
26.0,2.8193305943078144,2.9955644570072657,0.0783302538261319,0.0783302538261319,0.058831604269840576,0.003461157660963124,-0.0010598149091629381,-0.0015637313016215997,3.412672553977471,3.5378656690918504,0.03538662199871356
26.5,3.0259461330301276,2.9885370355756615,0.13831927964264223,0.13831927964264223,0.0,0.0,-0.001730578830481562,0.0005299074545814691,3.4549067493877055,3.53454908230641,0.022532529910925803
27.0,3.095969153593099,2.970954851816346,0.002812620843147151,0.002812620843147151,0.0,0.0,0.0,0.0015653310228856032,3.5074243054184038,3.507004653214556,0.0
27.5,3.031571374716422,2.964655312072025,-0.14016045781009256,-0.14016045781009256,0.0,0.0,0.0014000832152896447,0.0009630733234278042,3.4459580292533833,3.505250266446692,0.0169152650128499
28.0,2.8156482379729137,2.9729675701866087,-0.1275561494214894,-0.1275561494214894,0.0529165988190784,0.0028001664305792894,0.0019261466468556085,-0.0005998482439014331,3.3907417273047282,3.512240407880788,0.03459292829256233
28.5,2.776459075873443,2.9601886468737217,-0.012517253096378411,-0.012517253096378411,0.062066845366195444,0.003852293293711217,0.0002003867274867786,-0.0014194902149308446,3.3917482800653085,3.5099708756291834,0.03368193063501779
